Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,DistanceFromHome,OverTime,WorkLifeBalance,NumPromotions,Attrition
59,139040,35,3,33,No,2,2,No
49,19324,28,3,24,No,3,1,No
35,91323,14,4,23,No,3,3,No
28,24111,5,4,15,No,1,0,No
41,31389,16,2,27,Yes,1,1,Yes
59,137177,34,4,11,No,2,0,No
39,56427,18,4,17,No,3,3,No
43,137883,21,4,14,No,4,1,No
31,146189,7,4,27,No,4,1,No
31,140808,9,1,18,No,2,3,Yes
44,127221,22,4,28,No,2,2,Yes
56,28234,35,1,4,No,3,1,Yes
44,68441,23,1,7,Yes,3,1,No
23,15846,2,4,35,No,3,0,No
42,25954,21,3,9,No,1,2,No
22,94239,0,1,8,No,1,0,Yes
44,61514,23,3,17,No,2,0,No
50,103236,25,3,17,No,1,2,No
58,112579,33,4,33,Yes,3,2,No
22,57101,1,2,32,No,3,3,No
41,79323,18,4,8,No,1,2,No
53,106922,29,2,19,No,4,1,Yes
32,142534,10,2,38,Yes,2,2,Yes
42,82584,17,4,3,Yes,4,3,Yes
45,119537,21,4,5,Yes,2,3,No
47,93477,24,2,13,No,4,3,No
48,57533,26,4,31,Yes,1,2,Yes
36,16828,14,2,16,No,2,2,No
35,16917,10,3,32,No,2,0,Yes
23,35618,2,4,22,Yes,2,0,No
57,47254,34,3,29,No,3,1,No
27,120292,2,1,22,No,3,0,Yes
41,62362,18,3,3,No,4,1,No
29,35128,8,3,10,No,1,3,No
59,138781,38,2,21,No,3,0,Yes
38,80545,13,3,16,No,2,2,No
24,97180,3,4,12,No,3,0,No
45,102958,21,2,2,No,1,1,No
34,148291,12,1,24,Yes,3,0,Yes
29,54809,4,4,35,No,2,3,No
46,131748,23,1,30,No,4,2,No
22,20287,0,3,30,No,2,1,Yes
40,23512,15,4,35,Yes,1,2,Yes
48,147414,27,4,19,No,4,2,No
27,123872,6,1,8,Yes,3,1,No
28,108070,7,4,26,No,3,2,No
55,94767,34,4,7,No,3,2,No
34,112829,11,4,30,Yes,4,0,Yes
37,57078,13,3,7,No,2,2,No
56,121288,34,1,3,No,4,2,No
24,98524,1,4,1,No,4,2,No
22,27219,0,2,36,No,1,2,Yes
26,15235,4,2,25,Yes,4,1,Yes
24,57929,2,2,37,Yes,3,3,No
49,142309,28,2,1,No,2,0,Yes
38,82444,15,3,15,No,2,2,No
46,116834,21,4,37,Yes,2,2,No
54,99555,32,1,13,No,3,1,No
30,88698,8,4,8,No,3,3,No
56,139450,32,3,5,No,3,2,No
34,58925,9,2,9,No,3,1,No
51,102388,26,3,1,No,3,0,No
35,23007,13,4,36,No,4,0,No
28,73596,7,1,35,No,3,2,No
34,136101,10,3,2,No,3,2,No
43,103861,18,1,23,Yes,3,3,Yes
41,101740,19,3,9,Yes,3,3,No
36,30524,11,1,34,No,2,2,Yes
38,146149,14,1,14,No,3,1,No
44,140501,20,2,4,No,4,3,No
46,35611,23,1,30,No,4,2,No
45,29060,23,2,31,No,4,3,Yes
49,58303,25,4,38,No,1,2,No
35,54711,12,4,11,No,2,0,No
21,88340,0,2,35,No,3,2,Yes
45,117974,20,2,8,No,1,0,Yes
27,82728,2,3,3,No,3,3,No
29,26246,6,3,14,Yes,1,2,Yes
44,142796,19,3,13,No,1,3,No
21,107263,0,4,32,No,4,0,Yes
28,26302,7,3,34,No,4,2,No
44,82506,20,1,19,No,1,3,No
31,56157,8,1,38,No,4,0,Yes
37,69917,14,3,16,Yes,1,3,Yes
28,111646,4,1,2,No,2,1,No
55,98122,30,4,17,No,4,0,No
55,39519,30,1,34,Yes,4,0,No
53,95910,30,4,16,Yes,4,0,Yes
25,135430,3,2,38,No,2,2,No
59,86324,34,2,2,Yes,1,2,No
48,20408,24,2,2,Yes,3,2,Yes
27,74379,2,2,26,Yes,4,1,Yes
29,40053,5,1,13,No,1,1,Yes
28,146994,5,3,31,No,2,0,No
